,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00000183,Зашитная очки ACHKI OQ ODDI [120],шт,Кибрай
,00-00000184,Пилный диск  ARRA GERMA 180 [100],шт,Янгиобод
,00-00000186,Сверло по металу  ZONTIK SIVERLO 6 [2000],шт,Skay Tover
,00-00000187,Молоток  BOLGA 1000G [36],шт,Foondament
,00-00000188,Анкерный болть м12х120  ANKER BOLT 12/120 [320],шт,ООО Gold Meters Partner
,00-00000190,Ротбанд штукатурка гипсовая  UZBOYA RODBOND 25KG [1],шт,ООО Stroy premium house
,00-00000191,"Отрезной диск  180х1,6  ZONTIK TOSH 1.6/180 [200]",шт,Россия
,00-00000192,"Отрезной диск 230х2,5   ZONTIK TOSH 2.5/230 [100]",шт,Мухандис сервис Гроуп МЧЖ
,00-00000194,Анкерный болт м10х80  ANKER BOLT 10/80 [100],шт,Башкент Лакокраска
,00-00000195,Перфоратор PW 113-32-2 Pollwon  FERFARATIR [1],шт,ЧП Tau Roof
,00-00000196,Бур для бетон 6х160  ZONTIK BUR 160/6 [500],шт,Бозор
,00-00000197,Бур для бетон 14х160  ZONTIK BUR 160/14 [300],шт,Сергели зап бозор
,00-00000200,Лезвия малярный ножей (пачка 10шт)LEZVA LIT QORA [300],пачка,ООО Plyus lux oil
,00-00000201,Шпатель 100мм  SHPATEEL 100 [120],шт,Азия авто дизел
,00-00000202,Валик VALIK PANDA 55 [40],шт,Muxandis servis group
,00-00000204,Скотч прозрачный SKOVCH VERO 6/300 [18],шт,Аваз Ротбанд
,00-00000205,Лопата сопковая LAPATA KICH 250 [100],шт,Alwood Formwork
,00-00000206,Анкер клин 6х40 ANKER KLIN 6/40 [2000DONA],шт,Aslanyapi МЧЖ
,00-00000208,Миксер насадка Хитой  MEKSR XTOY FERFA KOTTA [50],шт,ООО Газоблок Умид строй
,00-00000209,Висячий замок  DRON QIZIL 75 [48],шт,Янги обод
,00-00000210,Силикон EUROFIX SELIKON [30],шт,BAO XIN METALL
,00-00000212,Ведро  TAYSIN CHELAK VODY 16LT [30] тайсин,шт,Куйлик промзона
,00-00000216,Гель  GEL QURILISH SVETNOY 5 LETR,шт,Карши Шохрух
,00-00000218,Краска серый ZZZAKAS KRASKA 20KG SERI [1],литр,Чукурсой Жамшид
,00-00000219,Краска аэрозоль цвет красный  AYRAZOL QIZIL 23 [12],шт,Сергели бозор
,00-00000220,Саморез по металу  MEXMASH 50 [22],кг,Golden Metall Рустам
,00-00000221,Изолента   IZALENTA GLOBI 5SM [100],шт,Vero economy stroy
,00-00000222,Ведро  OQ EMULSYA CHELAK [30],шт,Кухна бухоро таьмир
,00-00000223,Перчатка  QULQOP М300 ARANJVI XTOY [500],шт,ООО Shield energy
,00-00000225,Веревка  ARQON ICHAK [100M],м,howo centre
,00-00000228,"Саморез по металу том сарик 1,9см   SAMAREZ TOM SARIQ 1.9 [25]",кг,zomin Expo Great МЧЖ
,00-00000229,Пила пена блока ручной PENA ARRA 600 [24],шт,LBH Холдинг
,00-00000231,Бур для бетон 8х160  ZONTIK BUR 160/8 [500],шт,ООО Orient plastic
,00-00000233,Бур для бетон 12х350  ZONTIK BUR 350/12 [200],шт,Plsnber Invest
,00-00000234,Мешок  QOP 50KG [100],шт,Zontic
,00-00000235,Гвоздь 70мм MIX 70[20],кг,Конкор 322
,00-00000236,Гваздёр  GVAZDYOR MIX 600 [24],шт,ООО Adamant Profi
,00-00000237,Сварояный перчатка  QULQOP KRYAGA XTOY [890],шт,Куйлик автозапчаст
,00-00000238,Аграф 5-8 VODY AGRAF 09 [100],шт,Эрназаров Усмон
,00-00000241,Разбовитель 1л ZONTIK RAZBA KOTTA [15],шт,Сергели авто запчаст
,00-00000244,Рулетка  ZONTIK METIR YASHIL 10 [60],шт,янги обод
,00-00000245,Изолента  VINI TAPE QORA [500],шт,premier Santexnik
,00-00000247,Дюбель гвозд 6х40   DUBIL GVOZ MEXTIL 6/40 [1] 4.49KG,кг,Бахтиёр 99 5481133
,00-00000248,Саморез семичка по металу  SAMAREZ SIMECHKA MEALGA 1.9 [20],кг,INTERMAX PETROLIUM
,00-00000249,Скотч  BANDET SKOVCH KICH SERI [72],шт,east minning invest
,00-00000250,Кафельный клей  UZBOYA KAFEL KLIY 25KG [1],шт,Тимур
,00-00000252,Саморез по дереву  SAMAREZ OSTRE 25 [20],кг,ООО Plus lux oil
,00-00000253,Саморез по дереву  SAMAREZ OSTRE 30 [20],кг,Sky tower
,00-00000254,Кусачка  ZONTIK KUSACHKA ARANJVE [120],шт,Чукурсой Жамшид (97 745 33 33)
,00-00000255,Веник  SUPIRGI KICHK,шт,DUNYABUNYA
,00-00000256,Сверло по метталу  ZONTIK SIVERLO 10 [500],шт,Куйлик Камол 97 727 26 31
,00-00000257,Лопата штиковая  LAPATA KICH 250 [100],шт,Хитой Каргодан Импорт
,00-00000258,Пика  лопата  PEKA KICH [100],шт,STROY MASTER  77 800 74 01
,00-00000259,Шпатель   SHPATEL TISH 200 [120],шт,Заправка
,00-00000260,"Пленка черный SALAFAN QORA [50] 05/2M (1-мт 0,260кг)",кг,Куйлик 1045 Абдурашид 90 948 25 10
,00-00000263,Маркер черный MARKER QORA [120],шт,Сергели Жавохир 95 088 48 00
,00-00000264,Кирки    KERKI KOT [5],шт,А19 А80 Гумбаз
,00-00000266,Лопата черенок LAPATKA DASTA SOP [10],шт,Зохид Дукон
,00-00000267,Растворитель 646 VERSHENA 1 [12],шт,Хонобод 94 281 4525
,00-00000268,Изолента   IZALENTA GLOBI SRIDNI 2.5SM [400],шт,ООО Кухна Бухоро Тамир
,00-00000270,Электрод Арсеналь 4мм (Упаковка 5кг)  ELIKTROD ARSENAL 4 [4],пачка,Muxandis servis
,00-00000272,4СЦ Четырехветвевой строп цепной грузоподъемностью 20 тн длиной 4 метра с укорач крюком (паук),шт,RPTALL ROOF
,00-00000273,Металлический хомут 108-116 4* (лехкий),шт.,Куйлик бозор 97 000 75 10
,00-00000274,Металлический Хомут 25-30 3/4 (лехкий),шт.,Куйлик Рустам
,00-00000275,Металлический хомут 40-46 1 1/4* (лехкий),шт.,Сергели Магазин 93 535 88 11
,00-00000276,Металлический хомут 45-52 1 1/2* (лехкий),шт.,Башкент Локакраскадан
,00-00000278,Полотвод из ппр 50мм,шт.,Янги Обод бозор  97 315 72 32
,00-00000279,Муфта из ппр диам 32,шт.,ООО GOLD ALA BRAND
,00-00000281,Отвод из ппр 50,шт,Сп ОООBASALT WOOL
,00-00000282,Тройник из ппр диам 32,шт.,ООО KAPITAL D STROY
,00-00000283,Тройник диам 75,шт.,Vent Market
,00-00000284,Труба из ППР PN-16 ХВС диам 20,метр,OOO Thermo goods
,00-00000285,Труба из ппр PN-16 ХВС диам 25,метр,Мир люков
,00-00000286,Труба из ппр PN-16 ХВС диам 32,метр,Чукурсой Хайрулла
,00-00000287,Труба из ппр PN-16 ХВС диам 40,метр,Aslanyapi
,00-00000288,Труба из ппр PN-16 ХВС диам 50,метр,Ахрор
,00-00000289,Труба из ппр PN-16 ХВС диам 75,метр,Intermax petroleum
,00-00000290,Труба из ППР PN-20 ГВС диам 20,метр,Механик Комолиддин
,00-00000300,Алмазный диск 125мм,шт,ZNTALL ROOF
,00-00000301,Алмазный диск 230мм,шт,Premier Santexnika 777МЧЖ
,00-00000302,Саморез по дереву 4см,кг,PЗохид Магазин
,00-00000304,Труба из ппр PN-16 ХВС 63мм,метр,WOOL STONE ориф 97 445 4272
,00-00000305,Шлифовальная черепашки 100,шт,Хитой абу сахий
,00-00000306,Фум лента,шт,ЧП Rubiflex
,00-00000307,"Краска нитро цвет белый 2,5кг",шт,Юсуф
,00-00000308,Краска половая 2кг,шт,ЧП Tall roof
,00-00000309,"Краска нитро цвет красная 2,5кг",шт,Спец техника
,00-00000311,Прожектор 500w,шт,Сергили узгариш
,00-00000316,Каронка гипсокартона,шт,Малика 1338
,00-00000317,Лед 18W Dusell,шт,90 9155858
,00-00000319,Лед панель 24w,шт,Жомибозор
,00-00000320,Лед панель 36w,шт,RП TALL ROOF
,00-00000321,Розетка двойная внутренный,шт,GOLDEN METAL Rustam
,00-00000322,Лед простой 24w,шт,сергели Илхом ака 90 317 16 36
,00-00000323,Пожарный щит ПЩ 1200Х600Х230мм,шт,Механик комил
,00-00000325,Клавиатура и мышка,шт,Жомий бозор
,00-00000326,Лед лампочка 60w,шт,Урикзор
,00-00000327,Прожектор 200w,шт,Раупов
,00-00000329,Гофра 20мм,метр,Зарафшан
,00-00000330,Кобра прожектор 150w,шт,Абу сахий
,00-00000331,Прожектор 400w,шт,СП ООО BAO XIN METALL
,00-00000332,"Кабель ПУГНП 2х2,5мм2",метр,Tom baraka corporation
,00-00000333,"Кабель ПУГНП 2х1,5мм2",метр,Комил Механик
,00-00000334,Щит 500х400,шт,irtem stroy market
,00-00000336,Бетон контакт Вентум (1шт 10кг),шт,ИП ООО WANGA STEEL GROUP
,00-00000337,Пленка прозрачный,кг,Grand complect Servies
,00-00000338,Грунтовка акрил 5кг,шт,Сергели Бозор (97 344 28 28)
,00-00000339,Автомат 3фазный 25А,шт,Ибн сино бозор Холмурод
,00-00000340,Саморез по дереву 5см,кг,Куйлик 1045 Абдурашид 90 948 52 10
,00-00000341,"Саморез по дереву белый семичка 1,9см",кг,СП ООО PROCAB
,00-00000342,Саморез по металу шестигранный том сарик 3см,кг,Сергили
,00-00000343,Саморез по металу том сарик 5см (шестигранный),кг,Shield Energy
,00-00000345,Саморез по дереву белый 2см,кг,Боймурод
,00-00000348,Бетон гвозд 70мм,кг,Рувшан
,00-00000349,Саморез белый 10см,кг,Медгородок
,00-00000350,Губка,шт,ЯТТ Абдуллаев
,00-00000352,Порох гвозд 8х32,шт,Metall Center
,00-00000353,Мастерок строителный,шт,Сурум Куйичирчик
,00-00000354,Ковш строительный,шт,Билол
,00-00000355,Уровен шланг,метр,Боймурот
,00-00000356,Шпатель 200мм,шт,UDDA
,00-00000357,Шпатель 250мм,шт,Жоми бозор
,00-00000358,Маска респиратор,шт,Водник Кока-кола
,00-00000359,Силикон Akfix колбасный,шт,Sofmet
,00-00000360,МДФ 400мм,шт,Дилшод
,00-00000361,Химический анкер Selsil,шт,Кукча бухоро Помир
,00-00000362,"Краска Uzcolor 2,5кг (белый)",шт,Абдурасул
,00-00000363,Пена пистолет,шт,Сергели
,00-00000365,Лом Местный,шт,импорт
,00-00000366,Бак пластиковый 100л,шт,ООО Aznur Plast
,00-00000367,Болта (Топор) пластмас соп 1000гр,шт,Малика 97 4104004
,00-00000368,"Болга (Молоток) 1,5кг",шт,99 9940102
,00-00000369,Болга (Молоток) 3кг,шт,Arsenal Unigroup МЧЖ
,00-00000370,Серпянка 1м Фасадный (160гр),рулон,Антен строй маркет
,00-00000371,Макловица,шт,Хонобод
,00-00000372,Валик 10см,шт,Пример Сантехника
,00-00000373,Кисточка 10см,шт,Panda
,00-00000374,"Кисточка 7,5см",шт,99 7566333
,00-00000375,Герметик клей Tytan Classic fix 310мл,шт,Куйлик 7150
,00-00000376,Анкер болт 10х14,шт,Урикзор 90 0017133
,00-00000377,Болт м10х80,кг,Янги обод Гуломжон
,00-00000378,Силикон  Колбасный  (акфикс),шт,Янги обод 97 7426082
,00-00000379,Силикон пистолет маленкый,шт,Orient Pro МЧЖ
,00-00000380,Бумага А4,пачка,Хонобод
,00-00000381,Бумага А3,пачка,OOO Adamant profi
,00-00000382,Деловой журналь,шт,Бобоиурод 99 7566333
,00-00000383,Болт м10х60,кг,99 8595737
,00-00000384,Воздушный шланг,бухта,Абу сахий Карго
,00-00000385,Мусор пакет,пачка,Concord
,00-00000386,Плоскогубца,шт,Zontik Канцтовар
,00-00000387,Смеситель раковина Boou,шт,Якубов Фарход
,00-00000389,Сверло по металу 16мм,шт,Куйлик 4179
,00-00000390,Сверло по металу 14мм,шт,Магазин 90 9883710
,00-00000391,Бур для бетон 16х350,шт,ООО Кухна бухоро таьмир Завкиддин
,00-00000392,Бур для бетон 10х200,шт,ООО Khorezm insulation group
,00-00000394,Пилный диск 150мм,шт,Сергили Сурум
,00-00000395,Сверло ступенчатий 4х32 (арча),шт,Куйлик самандар
,00-00000396,Двухстронный скотч,шт,бозор 1-107
,00-00000397,Пика найза макс,шт,Фарход 98 3104146
,00-00000398,Алмазный диск 180мм,шт,Concord 322
,00-00000401,Мел,шт,ООО Irtem stroy market
,00-00000403,Рулетка обичный 50м,шт,Билол 33 0029744
,00-00000407,Бур для бетон 22х350,шт,Жомий бозор 90 9155858
,00-00000409,Хлор,шт,Янгобод 94 5059999
,00-00000410,Заглушка ПВХ 110мм,шт,Янгиобод 99 8112207
,00-00000411,Зашитный шиток для лица,шт,KOS ZAM-ZAM
,00-00000412,Резиновый сапог,пар,Best Plast
,00-00000413,Расширительный бак 20л,шт,Everest Metall Grand МЧЖ
,00-00000414,Шланг для полива 32мм  30м,шт,Раупов Зиёдулла 99 7921616
,00-00000415,Американка из ппр 32н/р,шт,Абу сахий Карго Импорт
,00-00000416,Адаптер 20мм н/р,шт,Янгобод 97 3157232
,00-00000417,Переходник из ппр 32х25,шт,Илхом 90 3171636
,00-00000418,Кран из ппр 63мм,шт,ООО Intermax Petroleum
,00-00000419,Полотвод из ппр 75мм,шт,Artikul aziya kabel. МЧЖ
,00-00000420,Муфта из ппр 63мм,шт,ООО Elektro potensial servis
,00-00000421,Тройник из ппр 63х25,шт,Асрор 97 4300575
,00-00000422,Тройник из ппр 63,шт,Куйлик 99 0556009
,00-00000423,Американка из ппр 63мм н/р,шт,Дилшод 97 4048060
,00-00000424,Переходник из ппр 63х50мм,шт,Истирохат 99 8371111
,00-00000425,Кран из ппр 25мм,шт,ООО Wool Stone
,00-00000427,Сварочный аппарат Epa MMA 250-xI-2,шт,INGCO WADFOW Tools
,00-00000429,Каска сварочный (кора),шт,Янги обод 97 3157232
,00-00000430,Кислородный шланг,метр,Сергили
,00-00000431,Сигналная лента (красно-белая),шт,Peri-Fs МЧЖ
,00-00000433,Леска,шт,ООО Toshkent profnastil servis
,00-00000434,Ветош тряпка,метр,Stron Мастер 99 9649555
,00-00000435,Цемент 50кг,мешок,MTP Siyob shinalari ООО
,00-00000436,"Шпаклёвка Элерон-05, для внутренних работ 20 кг",тн,Котта склад (Хожи)
,00-00000437,520 20кг Ventum Izostop изостоп,шт,Южниый 94 3100013
,00-00000438,Бетон гвозд  3см,кг,Истирохат 93 5434242
,00-00000439,"Вязальный провод 1,2мм",кг,Жомий бозор 90 1774841
,00-00000441,Крюк для крана,шт,Сергили Саторбек 94 9480009
,00-00000442,Отвес,шт,Малика А4
,00-00000443,Чалька,комп,Камрон 90 1742726
,00-00000445,Ручка для двери,комп,ООО Quduq Group
,00-00000447,Правила 1м,шт,Хожиакбар 97 7155516
,00-00000448,Шпатель 12см,шт,Метал кардоз
,00-00000449,Шпатель 60см,шт,Thermo Goods
,00-00000450,Сварочный аппарат Palwoon,шт,Чукурсой Жамшид 97 7453333
,00-00000451,Бумажный салфетка,шт,Янги обод 50 8008742
,00-00000452,Туалетная бумага,пачка,Эргашали 93 3740003
,00-00000453,Бумажный полотенца (рулон),рулон,Абу Сахий карго (импорт)
,00-00000454,Спераль печка (солнишка),шт,Golden Metall Rustam
,00-00000459,"Электрод арсеналь 2,5мм (пачка 2,5кг)",пачка,99 0009009
,00-00000460,"Электрод арсеналь 3мм (пачка 2,5кг)",пачка,Собир Рахимов  99 9649555
,00-00000461,"Электрод Magmaweld 2,5мм (пачка 2,5кг)",пачка,Урикзор Элназар 91 8788889
,00-00000462,"Электрод Magmaweld 3мм (пачка 2,5кг)",пачка,Татнефт
,00-00000463,Электрод Premium 4мм (пачка 5кг),пачка,Механик Комил 94 0618484
,00-00000464,Отрезной диск 125мм,шт,Zontik канстовар
,00-00000465,Краска аэрозоль цвет белый,шт,Малика бозор Хайрулло
,00-00000466,"Зажим хомут 3,6х400",пачка,Якубов Фарход 98 3104146
,00-00000467,"Зажим для кафель 1,4мм",пачка,Durable stone corp ООО
,00-00000468,"Кафель клин СВП 1,2мм (100шт)",пач,Малика Хожиакбар
,00-00000471,Андава 350мм,шт,Grand Complect Servis Юсуп
,00-00000472,Насос Vada,шт,Бектемир Насмидин
,00-00000474,"Кабель ВВГНГ 3х2,5мм2",метр,Баглан 94 0811881
,00-00000478,"Кабель 5х3,5мм2",метр,Чорсу Журабек 99 9190303
,00-00000479,Кабель ВВГНГ 3х6мм2,метр,ООО Thermo goods
,00-00000480,Кабель ВВГНГ 5х10мм2,метр,ООО STROPMASTER
,00-00000481,Азбес труба 300х4,шт,ООО Куня Бухоро таьмир
,00-00000482,Эмульсия RALL7004,шт,Сергили Бозор
,00-00000483,Эмульсия ок,шт,Медгородок Асрор
,00-00000484,"Холодильник Beston 1,5v",шт,Ибн сино Холмурод
,00-00000485,Стриальная машина Ziffler,шт,Назарбек темир савдо
,00-00000486,Газоблок 625х250х200,м3,Consignor
,00-00000487,Паддон 1200х980,шт,ИП ООО Knauf insulation tashkent
,00-00000488,Дизель топливо (солярка),кг,Чукурсой Таксопарк Файзуло
,00-00000489,Тройник из ппр 20мм,шт,Малика Хайруло 97 4104004
,00-00000490,Автоматический воздухосбросник,шт,Stroytest service
,00-00000491,Тройник из ппр 20х15 адаптер,шт,ООО Sofmet
,00-00000492,Труба (Шланг) 16мм напольного отопления (1бухта 200м) Т/п,метр,МТР Siyob Shinalari МЧЖ
,00-00000493,Кран из ппр 75мм,шт,Бозор 98 3104146
,00-00000494,Отвод из ппр 63мм,шт,Tash stell Умид
,00-00000495,Муфта из ппр 50мм,шт,Хонабод 90 1674348
,00-00000496,Тройник из ппр 50х32,шт,Stroy food business
,00-00000497,Переходник из ппр 75х63мм,шт,ООО Alfa oil group one
,00-00000498,Кран из ппр 50мм,шт,Янгийул Аброр 97 7397675
,00-00000499,"Кабель КГ 2х2,5мм2",м,Хонобод докон 90 3171636
,00-00000500,Кабель КВСПП 4х2х052мм2 UTP,м,ООО Пери
,00-00000501,"Кабель пожарный КПСНГ 1х2х0,8мм2",м,Жомий Фахридин 94 6760333
,00-00000502,"Кабель ПВС 2х2,5мм2",м,Солничный бозор
,00-00000503,Эмульсол- М масло,кг,CTS склад
,00-00000505,Четырехместный каучуковая удлинитель Колотка 4тали,шт,Мухамаад али 99 0556009
,00-00000506,Трансмиссионный масло 80-90 (20литр),литр,Grand Complect Servis
,00-00000507,Арматура 16мм,кг,Умиджон 99 9649555
,00-00000508,Арматура 10мм,кг,Сергили Санатжон 97 3442828
,00-00000509,Арматура 14мм,кг,ООО Electro Power Trade
,00-00000510,Арматура 20мм,кг,Малика бозор Хайрула
,00-00000511,Перчатка х/б,пара,ООО Кухна Бухоро Таьмир
,00-00000512,Пчёлка 235мм Pollwon PW125-235-1,шт,Кушбеги 93 5171365
,00-00000513,Гвоздь 100мм,кг,ООО Grand complect serviec
,00-00000514,Гвоздь 80мм,кг,Шовкатбек 95 3334949
,00-00000515,Бур для бетон 14х350,шт,Чини бозор Жамшид
,00-00000516,Пилный диск для пена блока 230мм,шт,ООО Gold AJA Brend
,00-00000517,Канцтовар,шт,Peri-Fs МЧЖ
,00-00000519,Принтер EKO TANK L 3250 xatw 260 261,шт,Мухамадали 99 8543109
,00-00000520,Пиломатериаль 100х100х6000,шт,Янги хаст 98 3148090
,00-00000521,Двер 210х90,шт,ООО Consensus
,00-00000522,Демпферная  лента уплотнитель (1шт 10м) Самаклей,метр,Янги обод 99 8112207
,00-00000523,Фиксатор Стулчик 25мм,шт,Premier Santexnika
,00-00000524,Фиксатор Звеоздичка 25мм (настенный),шт,Ибн сино Холмурод
,00-00000525,Эко плекс 2 мм,шт,Хонобод Илхом 90 3171636
,00-00000526,Дорожная сетка 15х15 3мм,шт,Tash steel Умид
,00-00000527,Штрапс ( хамут для топле пол ),пачек,95 9677778
,00-00000528,Парашют,шт,Izopanel
,00-00000529,Арматура 12мм,кг,Малика 39
,00-00000530,Палец 90/600 (спец тех),шт,Урикзор 98 3019575
,00-00000531,Шайба 90/140 (спец тех),шт,Юникстар МЧЖ 99 8858214
,00-00000532,Пилник 80/95/8 (спец тех),шт,Хожиакбар 98 1015516
,00-00000533,Втулка 90/04/110 (спец тех),шт,World Shaker
,00-00000534,Пилник 90/105/8 (спец тех),шт,Куйлик сомон бозор
,00-00000535,Пилник 100/105 (спец тех),шт,Fair-Tradehouses ООО
,00-00000537,Шайба медный (спец тех),шт,Диёр
,00-00000538,Шайба кора (спец тех),шт,Абдунабиев А
,00-00000539,Болт М18х180 (спец тех),шт,Хонобод дукон
,00-00000540,Гнутый профиль 40х200х40,м,Сергили Сурум 99 8788166
,00-00000541,Гнутый профиль 40х100х40,п/м,Собир Рахимов
,00-00000542,Кольцо ( для подрозетник ),шт,ООО Hikmat rahmon
,00-00000543,Фалва фильтр  (спец тех ),шт,Абу сахий карго
,00-00000544,Газ трос 220 ( спец тех ),шт,Бозор 90 1151906
,00-00000545,Баковой зад вид болшой ( спец тех ),шт,Mechanical tech service
,00-00000546,Баковой зад вид болшой ( спец тех ),шт,Сайрам 99 8398888
,00-00000547,Печка збори ( спец тех ),шт,Абдухаким 99 8384740
,00-00000548,Шлифовальный шкурка Р 240 (наждачная  бумага),шт,ИП ООО Irtem stroy Market
,00-00000549,Перфоугол (пачка 100шт),шт,Flexi Bond
,00-00000550,Тройник металичиский (из оцинкованных листов)100мм,шт,куйлик Мухаммадали 99 0556009
,00-00000551,Отвод металичиский (из оцинкованных листов) 100мм,шт,Тия бозор Иброхим
,00-00000552,Наканечник металичиский,шт,Gold Business Komplex
,00-00000553,Ручка синий,шт,ООО Marja Ashyo Savdo
,00-00000554,Закладной 8 д 40х40,шт,THE Metall
,00-00000555,Samsung 24 монитор,шт,Азия авто Дизель
,00-00000556,MyPro Case,шт,Жомий бозор 90 1774811
,00-00000557,Dell 300w,шт,Фаргона Tasin Hongbang МЧЖ
,00-00000558,Gigabyt H-410,шт,Комил 94 0618484
,00-00000559,СПU i3 10100,шт,Tenture Диёр
,00-00000562,SSD 256 lexar,шт,Gold Meters Partner МЧЖ
